交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
7月22日,19.2,19.2,19.05,19.1,-0.1,-0.52,0.78,"5,019","1,422",3.5,0.96,"-1,033",0,-58,"-1,091",31.1,110,"34,901",-4,217,0.6
7月19日,19.35,19.4,19.15,19.2,0,0,1.3,"5,359","1,656",3.2,1,-931,7,229,-695,31.2,47,"34,791",-1,221,0.6
7月18日,19.35,19.4,19.2,19.2,-0.15,-0.78,1.03,"4,084","1,418",2.9,0.79,-996,1,-32,"-1,027",31.2,-26,"34,744",-2,222,0.6
7月17日,19.35,19.45,19.2,19.35,0.05,0.26,1.3,"5,354","1,842",2.9,1,-795,0,-92,-887,31.2,-193,"34,770",4,224,0.6
7月16日,19.35,19.5,19.3,19.3,0.15,0.78,1.04,"6,325","1,890",3.3,1.2,"-1,284",-26,-47,"-1,357",31.2,386,"34,963",5,220,0.6
7月15日,19.45,19.45,19.05,19.15,-0.15,-0.78,2.07,"3,860","1,252",3.1,0.74,"-1,001",0,-217,"-1,218",31.2,186,"34,577",-14,215,0.6
7月12日,19.35,19.4,19.2,19.3,0.05,0.26,1.04,"3,825","1,174",3.3,0.74,-305,0,104,-201,31.3,-76,"34,391",-1,229,0.7
7月11日,19.35,19.4,19.2,19.25,0,0,1.04,"3,634","1,317",2.8,0.7,-392,0,-29,-421,31.3,-106,"34,467",-7,230,0.7
7月10日,19.3,19.4,19.15,19.25,0.35,1.85,1.32,"8,427","2,892",2.9,1.6,"1,186",0,247,"1,433",31.3,-213,"34,573",59,237,0.7
7月9日,19,19,18.75,18.9,-0.05,-0.26,1.32,"3,950","1,313",3,0.74,-403,0,-65,-468,31.2,-66,"34,786",-9,178,0.5
